Date,Price,High,0
2019-03-24 00:00:00,3994.7,4005.7,
2019-03-23 00:00:00,4002.5,4018.2,
2019-03-22 00:00:00,3990.4,4005.7,
2019-03-21 00:00:00,3982.2,4064.0,
2019-03-20 00:00:00,4041.2,4050.0,
2019-03-19 00:00:00,4017.0,4029.9,
2019-03-18 00:00:00,3990.2,4032.3,
2019-03-17 00:00:00,3981.5,4009.8,
2019-03-16 00:00:00,4006.4,4050.6,
2019-03-15 00:00:00,3924.3,3935.7,
2019-03-14 00:00:00,3879.0,3914.7,
2019-03-13 00:00:00,3865.1,3894.7,
2019-03-12 00:00:00,3886.0,3900.1,
2019-03-11 00:00:00,3870.3,3935.5,
2019-03-10 00:00:00,3915.2,3944.5,
2019-03-09 00:00:00,3944.3,3964.0,
2019-03-08 00:00:00,3865.9,3929.0,
2019-03-07 00:00:00,3875.1,3907.4,
2019-03-06 00:00:00,3863.0,3887.3,
2019-03-05 00:00:00,3857.2,3873.2,
2019-03-04 00:00:00,3715.9,3828.4,
2019-03-03 00:00:00,3809.5,3836.6,
2019-03-02 00:00:00,3823.1,3843.2,
2019-03-01 00:00:00,3821.9,3855.8,
2019-02-28 00:00:00,3816.6,3883.7,
2019-02-27 00:00:00,3814.6,3836.4,
2019-02-26 00:00:00,3810.3,3845.5,
2019-02-25 00:00:00,3833.7,3870.7,
2019-02-24 00:00:00,3755.2,4194.2,
2019-02-23 00:00:00,4120.4,4152.6,
2019-02-22 00:00:00,3965.2,3983.1,
2019-02-21 00:00:00,3936.6,4011.5,
2019-02-20 00:00:00,3972.4,3983.6,
2019-02-19 00:00:00,3914.3,3993.8,
2019-02-18 00:00:00,3896.0,3903.7,
2019-02-17 00:00:00,3664.2,3689.9,
2019-02-16 00:00:00,3616.8,3641.9,
2019-02-15 00:00:00,3604.7,3648.3,
2019-02-14 00:00:00,3592.6,3624.5,
2019-02-13 00:00:00,3611.5,3663.5,
2019-02-12 00:00:00,3632.0,3656.4,
2019-02-11 00:00:00,3631.8,3681.1,
2019-02-10 00:00:00,3679.0,3680.6,
2019-02-09 00:00:00,3661.4,3675.3,
2019-02-08 00:00:00,3661.7,3721.1,
2019-02-07 00:00:00,3397.7,3421.8,
2019-02-06 00:00:00,3404.3,3478.0,
2019-02-05 00:00:00,3468.4,3485.9,
2019-02-04 00:00:00,3462.8,3479.7,
2019-02-03 00:00:00,3459.1,3507.8,
2019-02-02 00:00:00,3502.5,3514.5,
2019-02-01 00:00:00,3467.9,3485.7,
2019-01-31 00:00:00,3437.2,3484.7,
2019-01-30 00:00:00,3460.0,3479.0,
2019-01-29 00:00:00,3414.8,3450.1,
2019-01-28 00:00:00,3442.8,3561.2,
2019-01-27 00:00:00,3555.6,3583.2,
2019-01-26 00:00:00,3570.9,3652.5,
2019-01-25 00:00:00,3572.0,3582.6,
2019-01-24 00:00:00,3574.3,3587.0,
2019-01-23 00:00:00,3561.5,3608.3,
2019-01-22 00:00:00,3580.1,3607.9,
2019-01-21 00:00:00,3536.7,3561.4,
2019-01-20 00:00:00,3542.3,3699.1,
2019-01-19 00:00:00,3677.8,3715.2,
2019-01-18 00:00:00,3605.6,3627.9,
2019-01-17 00:00:00,3626.4,3636.7,
2019-01-16 00:00:00,3588.0,3644.1,
2019-01-15 00:00:00,3571.3,3660.8,
2019-01-14 00:00:00,3638.1,3672.0,
2019-01-13 00:00:00,3490.2,3617.6,
2019-01-12 00:00:00,3597.2,3633.9,
2019-01-11 00:00:00,3616.5,3655.7,
2019-01-10 00:00:00,3603.7,4007.7,
2019-01-09 00:00:00,3978.0,4014.2,
2019-01-08 00:00:00,3971.0,4070.5,
2019-01-07 00:00:00,3985.9,4028.0,
2019-01-06 00:00:00,4004.1,4034.1,
2019-01-05 00:00:00,3785.4,3846.7,
2019-01-04 00:00:00,3802.7,3823.9,
2019-01-03 00:00:00,3780.1,3875.8,
2019-01-02 00:00:00,3873.8,3894.8,
2019-01-01 00:00:00,3809.4,3814.3,
2018-12-31 00:00:00,3709.4,3819.6,
2018-12-30 00:00:00,3815.0,3837.7,
2018-12-29 00:00:00,3706.8,3899.6,
2018-12-28 00:00:00,3861.6,3900.3,
2018-12-27 00:00:00,3586.9,3822.6,
2018-12-26 00:00:00,3793.7,3841.9,
2018-12-25 00:00:00,3762.5,4030.7,
2018-12-24 00:00:00,4026.1,4208.2,
2018-12-23 00:00:00,3944.4,4037.1,
2018-12-22 00:00:00,3964.4,3977.2,
2018-12-21 00:00:00,3850.9,4153.1,
2018-12-20 00:00:00,4076.0,4140.3,
2018-12-19 00:00:00,3687.1,3924.7,
2018-12-18 00:00:00,3668.0,3683.1,
2018-12-17 00:00:00,3526.1,3597.4,
2018-12-16 00:00:00,3247.9,3305.0,
2018-12-15 00:00:00,3228.7,3282.3,
2018-12-14 00:00:00,3247.8,3336.6,
2018-12-13 00:00:00,3315.3,3474.4,
2018-12-12 00:00:00,3466.1,3510.2,
2018-12-11 00:00:00,3407.7,3485.9,
2018-12-10 00:00:00,3460.5,3622.4,
2018-12-09 00:00:00,3567.5,3677.6,
2018-12-08 00:00:00,3430.4,3507.7,
2018-12-07 00:00:00,3422.2,3626.6,
2018-12-06 00:00:00,3508.6,3887.2,
2018-12-05 00:00:00,3771.6,3974.1,
2018-12-04 00:00:00,3958.5,4082.9,
2018-12-03 00:00:00,3897.8,4177.0,
2018-12-02 00:00:00,4160.4,4316.1,
2018-12-01 00:00:00,4196.2,4299.1,
2018-11-30 00:00:00,4039.7,4340.6,
2018-11-29 00:00:00,4296.5,4440.1,
2018-11-28 00:00:00,4265.4,4391.8,
2018-11-27 00:00:00,3866.5,3920.6,
2018-11-26 00:00:00,3837.0,4179.0,
2018-11-25 00:00:00,4062.2,4198.4,
2018-11-24 00:00:00,3920.4,4494.6,
2018-11-23 00:00:00,4398.0,4455.6,
2018-11-22 00:00:00,4356.0,4695.7,
2018-11-21 00:00:00,4638.7,4743.7,
2018-11-20 00:00:00,4524.6,5013.4,
2018-11-19 00:00:00,4883.8,5662.5,
2018-11-18 00:00:00,5658.3,5727.9,
2018-11-17 00:00:00,5621.8,5645.5,
2018-11-16 00:00:00,5636.2,5747.7,
2018-11-15 00:00:00,5718.9,5878.5,
2018-11-14 00:00:00,5842.4,6453.3,
2018-11-13 00:00:00,6429.2,6466.8,
2018-11-12 00:00:00,6435.0,6475.9,
2018-11-11 00:00:00,6446.1,6451.7,
2018-11-10 00:00:00,6427.1,6461.7,
2018-11-09 00:00:00,6412.0,6496.1,
2018-11-08 00:00:00,6474.0,6577.3,
2018-11-07 00:00:00,6565.3,6594.3,
2018-11-06 00:00:00,6502.8,6509.6,
2018-11-05 00:00:00,6459.7,6489.2,
2018-11-04 00:00:00,6478.2,6508.9,
2018-11-03 00:00:00,6386.2,6429.5,
2018-11-02 00:00:00,6424.7,6444.3,
2018-11-01 00:00:00,6400.5,6421.8,
2018-10-31 00:00:00,6365.9,6405.7,
2018-10-30 00:00:00,6325.7,6469.9,
2018-10-29 00:00:00,6335.0,6498.4,
2018-10-28 00:00:00,6486.1,6502.2,
2018-10-27 00:00:00,6494.2,6534.0,
2018-10-26 00:00:00,6510.0,6570.5,
2018-10-25 00:00:00,6507.0,6544.8,
2018-10-24 00:00:00,6530.7,6593.8,
2018-10-23 00:00:00,6528.7,6573.6,
2018-10-22 00:00:00,6555.8,6612.7,
2018-10-21 00:00:00,6583.0,6643.1,
2018-10-20 00:00:00,6572.2,6593.7,
2018-10-19 00:00:00,6512.0,6603.2,
2018-10-18 00:00:00,6574.1,6736.3,
2018-10-17 00:00:00,6686.6,6745.9,
2018-10-16 00:00:00,6705.3,6836.7,
2018-10-15 00:00:00,6699.8,7358.4,
2018-10-14 00:00:00,6326.8,6390.9,
2018-10-13 00:00:00,6321.7,6329.3,
2018-10-12 00:00:00,6291.3,6344.8,
2018-10-11 00:00:00,6239.1,6622.5,
2018-10-10 00:00:00,6618.0,6653.5,
2018-10-09 00:00:00,6650.8,6678.9,
2018-10-08 00:00:00,6669.6,6699.5,
2018-10-07 00:00:00,6611.0,6633.9,
2018-10-06 00:00:00,6596.3,6661.5,
2018-10-05 00:00:00,6639.1,6682.3,
2018-10-04 00:00:00,6584.2,6653.0,
2018-10-03 00:00:00,6507.8,6563.5,
2018-10-02 00:00:00,6549.9,6645.7,
2018-10-01 00:00:00,6608.2,6674.7,
2018-09-30 00:00:00,6635.2,6673.9,
2018-09-29 00:00:00,6603.9,6648.4,
2018-09-28 00:00:00,6636.0,6809.2,
2018-09-27 00:00:00,6689.2,6738.3,
2018-09-26 00:00:00,6468.1,6551.9,
2018-09-25 00:00:00,6445.1,6590.6,
2018-09-24 00:00:00,6584.1,6728.1,
2018-09-23 00:00:00,6704.1,6789.4,
2018-09-22 00:00:00,6729.6,6833.3,
2018-09-21 00:00:00,6766.7,6780.5,
2018-09-20 00:00:00,6489.2,6537.5,
2018-09-19 00:00:00,6390.4,6478.7,
2018-09-18 00:00:00,6342.0,6388.8,
2018-09-17 00:00:00,6251.9,6533.5,
2018-09-16 00:00:00,6500.2,6520.8,
2018-09-15 00:00:00,6519.0,6562.9,
2018-09-14 00:00:00,6483.7,6579.4,
2018-09-13 00:00:00,6482.9,6867.3,
2018-09-12 00:00:00,6338.0,6353.5,
2018-09-11 00:00:00,6293.9,6391.8,
2018-09-10 00:00:00,6321.0,6358.5,
